	rating	reviews	reviews_punctuation_free
134	4.0	"Being a foodie, Restaurant Gordon Ramsay is definitely on my bucket list. Having gone to most of the 3 Michelin star restaurants in the Bay Area (aside from Manresa at the time of writing), I was looking forward to trying out this place on my visit to London. We came during lunch time (they open their reservation MONTHS in advance, and at 4 months before, I was only able to grab lunch spots). Their menu availability is the same for lunch and dinner, in addition to a lunch special menu that they only offer during lunch time. My boyfriend and I went a la carte during our meal. As always, my eyes were bigger than my stomach, and I decided to go with the option that lets you try every dessert they have. I didn't realized how big their portion sizes are, so by the time dessert came, I was already way too full. I got the foie gras for appetizer and fish for entree. They're definitely more of a ""traditional"" fine cuisine place. So if you're into traditional French cuisine such as The French Laundry, this is your place. My boyfriend and I prefer more adventurous takes on cuisine (our favorite is Benu in SF), so the food here is a bit boring. But don't get me wrong, the food was amazing and perfectly prepared!"	being a foodie  restaurant gordon ramsay is definitely on my bucket list  having gone to most of the 3 michelin star restaurants in the bay area  aside from manresa at the time of writing   i was looking forward to trying out this place on my visit to london  we came during lunch time  they open their reservation months in advance  and at 4 months before  i was only able to grab lunch spots   their menu availability is the same for lunch and dinner  in addition to a lunch special menu that they only offer during lunch time  my boyfriend and i went a la carte during our meal  as always  my eyes were bigger than my stomach  and i decided to go with the option that lets you try every dessert they have  i didn t realized how big their portion sizes are  so by the time dessert came  i was already way too full  i got the foie gras for appetizer and fish for entree  they re definitely more of a  traditional  fine cuisine place  so if you re into traditional french cuisine such as the french laundry  this is your place  my boyfriend and i prefer more adventurous takes on cuisine  our favorite is benu in sf   so the food here is a bit boring  but don t get me wrong  the food was amazing and perfectly prepared 
135	5.0	I loved Gordon Ramsay, even though I was seated next to a loud Chinese party of ten. If it weren't for the attentive service, that could potentially have ruined my night. The restaurant is very intimate, so you'll see how that could have been distracting. I was stuffed by the end of the Seasonal Inspiration Menu. The server was extra generous with the truffles, but I can't say I preferred the overall experience to Petrus, which I thoroughly enjoyed. Try both and see for yourself!	i loved gordon ramsay  even though i was seated next to a loud chinese party of ten  if it weren t for the attentive service  that could potentially have ruined my night  the restaurant is very intimate  so you ll see how that could have been distracting  i was stuffed by the end of the seasonal inspiration menu  the server was extra generous with the truffles  but i can t say i preferred the overall experience to petrus  which i thoroughly enjoyed  try both and see for yourself 
136	5.0	Went here for one of my most memorable birthdays and thoroughly loved it! The food was very good as was the service. If you're looking to get bottles though, just be careful as some go for well over a thousand quid. I would recommend going with a couple of people so that everyone can try a few different dishes.	went here for one of my most memorable birthdays and thoroughly loved it  the food was very good as was the service  if you re looking to get bottles though  just be careful as some go for well over a thousand quid  i would recommend going with a couple of people so that everyone can try a few different dishes 
137	5.0	Outstanding in every respect. As we were visiting from the USA, I had made reservations online for the 4 of us and the restaurant called the week before to confirm the time. It was nice to speak someone prior to our arrival and let them know how much we were looking forward to the meal. I knew it was going to be expensive and wondered if it would live up to the expectations and it way exceeded them. Jean-Claude the maître de was phenomenal. The service was impeccable, he regularly checked back on us without being intrusive. The other wait staff were polished and smooth throughout the service.The food was the best that I have ever had, every course beautifully presented. The taste out of this world, the menu descriptions do not do justice to the taste on your tongue.At the end we were shown the kitchen; smaller than I expected and was able to thank Claire for a most wonderful experience.I think it speaks volumes that although Gordon is hardly ever there, his high standards are maintained.Once in a lifetime experience, wish I could do it again	outstanding in every respect  as we were visiting from the usa  i had made reservations online for the 4 of us and the restaurant called the week before to confirm the time  it was nice to speak someone prior to our arrival and let them know how much we were looking forward to the meal  i knew it was going to be expensive and wondered if it would live up to the expectations and it way exceeded them  jean claude the ma tre de was phenomenal  the service was impeccable  he regularly checked back on us without being intrusive  the other wait staff were polished and smooth throughout the service the food was the best that i have ever had  every course beautifully presented  the taste out of this world  the menu descriptions do not do justice to the taste on your tongue at the end we were shown the kitchen  smaller than i expected and was able to thank claire for a most wonderful experience i think it speaks volumes that although gordon is hardly ever there  his high standards are maintained once in a lifetime experience  wish i could do it again
138	5.0	"I was so anticipating this visit as one of the highlights of my London trip that I was worried I would end up disappointed. Not so.The restaurant's atmosphere was pure understated elegance. I was slightly intimidated walking down the long entrance hallway, but that feeling mostly faded as the friendly staff guided my mom, sister and I past the waiting space and into the single-room dining area. It was surprisingly unassuming, filled with soft beiges and mauves. Throughout the meal the servers were warm, helpful and professional--the only hiccup came when my sister's turbot arrived a bit too early and had to make a brief retreat.Now for the food. The meal began with three tiny, unexpected hors d'oeuvres: a fluffy little parmesan dumpling (good), a cheesy, crunchy ball topped with salty iberico ham (excellent) and a seaweed-wrapped, sashimi-like cured salmon (excellent). The next surprise item was a bright green ricotta dish, beautifully plated with fresh vegetables (tangy and salty, every bite slightly different).Then the appetizers: I was a served a single giant lobster, langoustine and salmon ravioli, surrounded with a wood sorrel sauce (also bright green). It had a balanced, hearty seafood flavor, and the savory wood sorrel was oddly addictive. My dining partners both had the scallops--I'm not normally a fan, but these were probably the best I've tasted. They came with two sauces: a nice sweet apple-based one and another (even better) that was concentrated with walnut flavor.Entrees: My sister had the turbot with greens and an unidentified vegetable (sea beet?)--nicely seasoned and meaty, but not really a standout. My mom and I had pork five ways. The chou farci (stuffed cabbage) was my least favorite, salty but otherwise unexciting. (There was also a smidge of applesauce that I tried but mostly avoided.) The sausage was also slightly disappointing, but still well-spiced and quite decent. The loin was elevated by some slightly acidic potatoes and bite of thin, perfectly crisp bacon. The suckling pig was tender and flavorful, accented by sweet bit of pineapple......And then there was pork belly. Oh, the pork belly. This razor-thin rectangle of salty, fatty goodness was one of the best things I've ever eaten. The brilliance of it was the contrast in textures: immaculately crispy on the top layer, melt-in-your-mouth tender on the bottom. It came with two preparations of apple--one baked, one fresh and thin-sliced. It was good with them, it was good without them. It was just good.Another intermission: a sweet, brightly flavored mango-passion fruit beverage that was a lovely pre-dessert palate cleanser. We split our three desserts evenly between us. The peppermint souffle was immensely fluffy--so much so that it was essentially a minty egg foam. A bit strange, but better with the chocolate sorbet (which there should've been more of). The chocolate, praline mousse and granola dish was very nice, possibly the best of the three and a nice mix of sweet and pleasantly bitter. The lemonade parfait was easily the most interesting one, jam-packed with sweet and sour flavor. It came with a beautifully spun honey tuile ring, a creamy sheep's milk sorbet and a tangy bergamot gel.Finally, three more mini-surprises. The elderflower Turkish delight was an appropriately floral gelatin treat. The thin wafers of chocolate peanut brittle were nothing very unusual, but delicious with a balanced sweet-saltiness. The white-chocolate-dipped morsels of strawberry ice cream, immersed in dry ice fog for maximum effect, were a memorable end to a spectacular dinner.My meal here was delicious and inventive, with several hits and only a couple of partial misses. I would love to make a return pilgrimage someday and try their even more elaborate ""prestige"" or ""seasonal inspiration"" menus. I'll look back on this dinner with fondness for a long time to come."	i was so anticipating this visit as one of the highlights of my london trip that i was worried i would end up disappointed  not so the restaurant s atmosphere was pure understated elegance  i was slightly intimidated walking down the long entrance hallway  but that feeling mostly faded as the friendly staff guided my mom  sister and i past the waiting space and into the single room dining area  it was surprisingly unassuming  filled with soft beiges and mauves  throughout the meal the servers were warm  helpful and professional  the only hiccup came when my sister s turbot arrived a bit too early and had to make a brief retreat now for the food  the meal began with three tiny  unexpected hors d oeuvres  a fluffy little parmesan dumpling  good   a cheesy  crunchy ball topped with salty iberico ham  excellent  and a seaweed wrapped  sashimi like cured salmon  excellent   the next surprise item was a bright green ricotta dish  beautifully plated with fresh vegetables  tangy and salty  every bite slightly different  then the appetizers  i was a served a single giant lobster  langoustine and salmon ravioli  surrounded with a wood sorrel sauce  also bright green   it had a balanced  hearty seafood flavor  and the savory wood sorrel was oddly addictive  my dining partners both had the scallops  i m not normally a fan  but these were probably the best i ve tasted  they came with two sauces  a nice sweet apple based one and another  even better  that was concentrated with walnut flavor entrees  my sister had the turbot with greens and an unidentified vegetable  sea beet    nicely seasoned and meaty  but not really a standout  my mom and i had pork five ways  the chou farci  stuffed cabbage  was my least favorite  salty but otherwise unexciting   there was also a smidge of applesauce that i tried but mostly avoided   the sausage was also slightly disappointing  but still well spiced and quite decent  the loin was elevated by some slightly acidic potatoes and bite of thin  perfectly crisp bacon  the suckling pig was tender and flavorful  accented by sweet bit of pineapple      and then there was pork belly  oh  the pork belly  this razor thin rectangle of salty  fatty goodness was one of the best things i ve ever eaten  the brilliance of it was the contrast in textures  immaculately crispy on the top layer  melt in your mouth tender on the bottom  it came with two preparations of apple  one baked  one fresh and thin sliced  it was good with them  it was good without them  it was just good another intermission  a sweet  brightly flavored mango passion fruit beverage that was a lovely pre dessert palate cleanser  we split our three desserts evenly between us  the peppermint souffle was immensely fluffy  so much so that it was essentially a minty egg foam  a bit strange  but better with the chocolate sorbet  which there should ve been more of   the chocolate  praline mousse and granola dish was very nice  possibly the best of the three and a nice mix of sweet and pleasantly bitter  the lemonade parfait was easily the most interesting one  jam packed with sweet and sour flavor  it came with a beautifully spun honey tuile ring  a creamy sheep s milk sorbet and a tangy bergamot gel finally  three more mini surprises  the elderflower turkish delight was an appropriately floral gelatin treat  the thin wafers of chocolate peanut brittle were nothing very unusual  but delicious with a balanced sweet saltiness  the white chocolate dipped morsels of strawberry ice cream  immersed in dry ice fog for maximum effect  were a memorable end to a spectacular dinner my meal here was delicious and inventive  with several hits and only a couple of partial misses  i would love to make a return pilgrimage someday and try their even more elaborate  prestige  or  seasonal inspiration  menus  i ll look back on this dinner with fondness for a long time to come 
139	3.0	"The dining experience at Restaurant Gordon Ramsay's London Mother Ship is wonderful, memorable, elegant and unparalleled in service.  The servers are all good looking in their formal attire, and friendly, courteous, knowledgeable and professional to boot!We chose the 7-course Prestige tasting menu, and along with 2 extra chef ""surprises"", took 3 hours to complete.  The interior is cozy and elegant in dove gray, muted whites and crystal, so it is a soothing place in which to spend lots of time savoring the atmosphere and food presentation.And it is all about the presentation.  Each dish was uniquely creative, sometimes with surprising ingredient pairings.  Each plate is a visual masterpiece, which led to much speculation about how they actually do it!  Razor thin slices of baby vegetables and roasted shallots dressed the foie gras with amazing grace.  This could be said of every single plate in this menu, which contains many of the restaurant's signature dishes.But here comes my inner comment:  the food mostly looked  better than it actually tasted.  A small square of poached fish surrounded by delicate flower petals and broth was-- bleh.  A beautiful mousse of egg white, potato and toasted truffle served in an almost-whole egg shell was -- hard to swallow.  It's like deliciousness was sacrificed for artistic merit.  I almost feel like it's The Emperor's New Clothes, where everyone is so busy oooohhing and ahhhhing and being devoted foodies that they have not stopped to taste the food and admit that this was not the best meal they ever had.  Having said that, I'll run and hide from all the rotten tomatoes that will be thrown at me.  Signed,Desperately Seeking Umami"	the dining experience at restaurant gordon ramsay s london mother ship is wonderful  memorable  elegant and unparalleled in service   the servers are all good looking in their formal attire  and friendly  courteous  knowledgeable and professional to boot we chose the 7 course prestige tasting menu  and along with 2 extra chef  surprises   took 3 hours to complete   the interior is cozy and elegant in dove gray  muted whites and crystal  so it is a soothing place in which to spend lots of time savoring the atmosphere and food presentation and it is all about the presentation   each dish was uniquely creative  sometimes with surprising ingredient pairings   each plate is a visual masterpiece  which led to much speculation about how they actually do it   razor thin slices of baby vegetables and roasted shallots dressed the foie gras with amazing grace   this could be said of every single plate in this menu  which contains many of the restaurant s signature dishes but here comes my inner comment   the food mostly looked  better than it actually tasted   a small square of poached fish surrounded by delicate flower petals and broth was   bleh   a beautiful mousse of egg white  potato and toasted truffle served in an almost whole egg shell was    hard to swallow   it s like deliciousness was sacrificed for artistic merit   i almost feel like it s the emperor s new clothes  where everyone is so busy oooohhing and ahhhhing and being devoted foodies that they have not stopped to taste the food and admit that this was not the best meal they ever had   having said that  i ll run and hide from all the rotten tomatoes that will be thrown at me   signed desperately seeking umami
140	1.0	"Although the food was exquisite, the service, unfortunately, was not. I had lunch at the Gordon Ramsay Restaurant on Nov 4. I showed up and was charged 200 pounds directly to my lunch meal. I understand the importance of no-show fees, but here's what was wrong. - 2 people in our party of 4 couldn't come, and my friend had called a week in advance to change the party size (the restaurant requires 48 hrs advance notice)...only, the restaurant didn't actually change our party size. - The people who showed up (myself and a friend) were charged 100 pounds/person for the people who didn't show, even though I wasn't liable for the reservation. My friend who couldn't come had made the reservation, and the charge should've gone to the card on file for the reservation (her card).- Gordon Ramsay restaurant has conflicting ""no-show/cancellation"" policies on their OpenTable home page, their website, OpenTable confirmation email, and information relayed by the restaurant representative. Only the person making the reservation on OpenTable had access to the ""accurate"" policy -- which apparently is that the party size has to be successfully changed. Notifying the restaurant isn't enough.- Also note, the per person no-show fee is 100 pounds, but the lunch menu is only 65 pounds per person.During the actual dining experience, the manager stopped by all tables except ours, and I was told to contact the restaurant via email. It then took 10+ emails for the manager to admit that Gordon Ramsay should've charged the card on file. Turns out, he didn't charge the card on file because the process is longer and more complicated (he has to go through an account executive at the main office). Regretfully, the manager didn't realize that as he cut some corners on the correct process and charged the fee directly to the meal of people who did show up, my dining experience was negatively affected. I still have yet to receive an apology for the miscommunication from Gordon Ramsay and the way in which the no-show fees were handled.   So here is my sad, but quick tip to you: - If your complete party can't make it, order the lunch set menu for the ""invisible people"" in your party. You'll save 35 pounds per person. The no-show fee is 100 pounds, but the lunch set menu is only 65 pounds."	although the food was exquisite  the service  unfortunately  was not  i had lunch at the gordon ramsay restaurant on nov 4  i showed up and was charged 200 pounds directly to my lunch meal  i understand the importance of no show fees  but here s what was wrong    2 people in our party of 4 couldn t come  and my friend had called a week in advance to change the party size  the restaurant requires 48 hrs advance notice    only  the restaurant didn t actually change our party size    the people who showed up  myself and a friend  were charged 100 pounds person for the people who didn t show  even though i wasn t liable for the reservation  my friend who couldn t come had made the reservation  and the charge should ve gone to the card on file for the reservation  her card    gordon ramsay restaurant has conflicting  no show cancellation  policies on their opentable home page  their website  opentable confirmation email  and information relayed by the restaurant representative  only the person making the reservation on opentable had access to the  accurate  policy    which apparently is that the party size has to be successfully changed  notifying the restaurant isn t enough   also note  the per person no show fee is 100 pounds  but the lunch menu is only 65 pounds per person during the actual dining experience  the manager stopped by all tables except ours  and i was told to contact the restaurant via email  it then took 10  emails for the manager to admit that gordon ramsay should ve charged the card on file  turns out  he didn t charge the card on file because the process is longer and more complicated  he has to go through an account executive at the main office   regretfully  the manager didn t realize that as he cut some corners on the correct process and charged the fee directly to the meal of people who did show up  my dining experience was negatively affected  i still have yet to receive an apology for the miscommunication from gordon ramsay and the way in which the no show fees were handled    so here is my sad  but quick tip to you    if your complete party can t make it  order the lunch set menu for the  invisible people  in your party  you ll save 35 pounds per person  the no show fee is 100 pounds  but the lunch set menu is only 65 pounds 
141	5.0	The two-hour meal I savored during my first trip to London in early July ranks as the best belated birthday present I have ever received. My father and stepmother treated me to a lunch I will remember for the rest of my life.The petite dining room features a mere 14 tables, yet it packs enough charm and splendor to fill a big box store. Never attempt to eat here sans a reservation. Secure a spot at least one week in advance just to be safe. My sister, who lives in London, placed a call almost a month prior to our visit.Gordon Ramsay's posh flagship on Royal Hospital Road employs enough wait staff to allow each member to serve a specific course. Another paramount consideration: This is not a fast-food, dash-in and dash-out establishment. A leisurely, glacial pace of food consumption is essential if you want to appreciate the myriad flavors married by Chef Patron Clare Smyth.We ordered from the lunch menu and elected for the three-course option, which costs 55 pounds per head. As the five-star rating should indicate, not one pound of the exorbitant bill was wasted.The extravagant cuisine adventure commenced with a complimentary consomme. The made-from-rich-flavored stock was drinkable, with baby radishes, heirloom tomatoes and chives delicately assembled in the center of the bowl. I did not leave a trace of this delightful opener on the plate.I opted to start with the roasted quail with soy honey, togorashi, pickled vegetables and herbs. The house-made soy sauce and dijon mustard rim delivered a perfect accompaniment for the two wing cuts of soft roasted bird. I cannot remember enjoying another quail dish more than this.Next, I selected the roasted rabbit loin with Bayonne ham, salted baked turnips, toasted hazelnuts and pickled mustard seed. The exquisite presentation of this and every other dish served at the restaurant merits museum enshrinement. The many components at work on the wide plate bonded beautifully. The mustard seed and savory sauce enhanced the wonders of each diminutive bite.Throughout the afternoon, one wait staff member offered three different breads paired with finely sculpted salted and unsalted butter towers. The onion bacon brioche ranked as my favorite.For my last official course, dessert, I chose the chocolate bars with toasted milk mousse and tonka bean ice cream. As much as I love caramel popcorn, I would not have pictured it as a sinful ally in a gourmet dessert dish. Each bite of popcorn with a splash of the milk mousse was even better than the previous one. The caramel, dark and milk chocolate bars melted in my mouth. You can't buy candy this delectable at a convenience store.Patrons also receive a complimentary dessert tray with four ice cream balls served in a bowl of steaming dry ice plus two lemon Turkish delights and two chocolate ganache squares.The championship clincher of this five-star experience: Waiters had eavesdropped on our table during an earlier birthday toast and brought me a sixth course, a miniature but wicked chocolate-hazelnut cake complete with a candle. That they nailed my favorite sweet combination, most often referred to as Nutella or Bacio, has to be the greatest instance of dumb luck ever. Wow!Wait at least one minute after receiving each dish because servers tend to return in a few moments with extra goodies and garnishes for your selected item.This extraordinary day also included the British Museum, the London Eye and Coldplay at the Royal Albert Hall. I will be back.	the two hour meal i savored during my first trip to london in early july ranks as the best belated birthday present i have ever received  my father and stepmother treated me to a lunch i will remember for the rest of my life the petite dining room features a mere 14 tables  yet it packs enough charm and splendor to fill a big box store  never attempt to eat here sans a reservation  secure a spot at least one week in advance just to be safe  my sister  who lives in london  placed a call almost a month prior to our visit gordon ramsay s posh flagship on royal hospital road employs enough wait staff to allow each member to serve a specific course  another paramount consideration  this is not a fast food  dash in and dash out establishment  a leisurely  glacial pace of food consumption is essential if you want to appreciate the myriad flavors married by chef patron clare smyth we ordered from the lunch menu and elected for the three course option  which costs 55 pounds per head  as the five star rating should indicate  not one pound of the exorbitant bill was wasted the extravagant cuisine adventure commenced with a complimentary consomme  the made from rich flavored stock was drinkable  with baby radishes  heirloom tomatoes and chives delicately assembled in the center of the bowl  i did not leave a trace of this delightful opener on the plate i opted to start with the roasted quail with soy honey  togorashi  pickled vegetables and herbs  the house made soy sauce and dijon mustard rim delivered a perfect accompaniment for the two wing cuts of soft roasted bird  i cannot remember enjoying another quail dish more than this next  i selected the roasted rabbit loin with bayonne ham  salted baked turnips  toasted hazelnuts and pickled mustard seed  the exquisite presentation of this and every other dish served at the restaurant merits museum enshrinement  the many components at work on the wide plate bonded beautifully  the mustard seed and savory sauce enhanced the wonders of each diminutive bite throughout the afternoon  one wait staff member offered three different breads paired with finely sculpted salted and unsalted butter towers  the onion bacon brioche ranked as my favorite for my last official course  dessert  i chose the chocolate bars with toasted milk mousse and tonka bean ice cream  as much as i love caramel popcorn  i would not have pictured it as a sinful ally in a gourmet dessert dish  each bite of popcorn with a splash of the milk mousse was even better than the previous one  the caramel  dark and milk chocolate bars melted in my mouth  you can t buy candy this delectable at a convenience store patrons also receive a complimentary dessert tray with four ice cream balls served in a bowl of steaming dry ice plus two lemon turkish delights and two chocolate ganache squares the championship clincher of this five star experience  waiters had eavesdropped on our table during an earlier birthday toast and brought me a sixth course  a miniature but wicked chocolate hazelnut cake complete with a candle  that they nailed my favorite sweet combination  most often referred to as nutella or bacio  has to be the greatest instance of dumb luck ever  wow wait at least one minute after receiving each dish because servers tend to return in a few moments with extra goodies and garnishes for your selected item this extraordinary day also included the british museum  the london eye and coldplay at the royal albert hall  i will be back 
142	5.0	"Items Experienced:Alain Milliat Apricot NectarSourdough, Onion Bacon Brioche, Pretzel, Oatmeal Rye Bread and Bordier ButterBaby Radish, Heirloom Tomato, Chive, and Tomato ConsomméPressed Foie Gras with Green Apples, Turnips, Watercress, Smoked Duck, Brioche BatonRavioli of Lobster - Langoustine - Salmon poached in a light bisque, oscietra caviar, sorrel velouteGougeresIsle of Gigha Halibut with Atlantic King Crab, Finger Lime, Cauliflower Cous-Cous and Ras El Hanout Infused Broth including Coriander, Fennel Seed, Cinnamon, and CloveBresse Pigeon Breast with Confit Leg, Smoked Pork Belly, Grilled Polenta, Mascarpone, Beet Root, Braised Shallots, Baby Carrot, DatesSelection of Cheeses including Camembert Calvados, 36-Month Comte, Holland Goat Bleu, Napoleon - Haut Pyrenees, and Ami du Chambertin with Oat Cakes and Chive Lavosh, Fruit Bread, Local Honeycomb, GrapesCucumber Sorbet, Salad Burnet, Lemon Verbena, Mint, Lemon BalmAssiette de l'Aubergine - Lemonade Parfait with Honey, Bergamot, Sheep's Milk Yoghurt Sorbet / Smoked Chocolate Cigar with Blood Orange and Cardamom Ice Cream / Bitter Chocolate Cylinder with Coffee Granite and Ginger MousseCaramelised tarte Tatin of Apples with Tahitian Vanilla Ice CreamEnglish Peppermint Souffle with Bitter Chocolate SorbetStrawberry Ice Cream Bon Bon, Milk Chocolate Ganache, Rosewater Turkish DelightUndeniably a caricature of his own creation, and perhaps nowhere more than back home in Las Vegas where his most highly regarded restaurant flaunts ""a fury for flavor,"" it was with a cautious sort of optimism that I approached Restaurant Gordon Ramsay and thankfully sparred from any semblance of shtick nearly every moment of my three hour lunch would prove a delight.  Still Ramsay in name but maintaining three stars from Michelin under the direction of Clare Smyth as each of 45 seats are pampered by formal yet friendly service amidst an art deco décor bathed in white it obviously comes as no surprise that a visit to Royal Hospital Road proves a far more elegant experience than fans of the Scottish chef's celebrity might expect and although some may call the cuisine a touch too 'safe' I prefer the term precise, not a single element of the ""Menu Prestige"" out of place as a parade of ornate plates shined bright.  Admittedly not the best way to showcase Chef Smyth's skills yet at the same time far more broad in scope than the shorter prix-fixe it was of several Ramsay signatures that my meal comprised and with courses such as the tender ravioli and delicate halibut every bit deserving of their legendary status served alongside Milliat nectars, a top tier bread program paired to Bordier, plus a cheese cart rich in selections from Antony not a single detail seemed overlooked.  Delving into a few modernist flairs as the meal transitioned to sweets it was only here that I diverged from the ""Prestige"" path and although commanding a £20 premium the Assisette de l'Aubergine was every bit worth the price - a trio of the restaurant's daily desserts paired with an individual portion of the restaurant's signature tarte and capped by a full sized soufflé, itself bearing a £20 tag if ordered a la carte.  Beleaguered by some due to its namesake's antics but every bit worth its celebrated status suffice it to say that whether Chef Ramsay himself has cooked on Hospital Road recently is irrelevant, the kitchen remains in good hands while the front of house flows with an effortless affability far too infrequently seen amongst Europe's mostly highly ranked."	items experienced alain milliat apricot nectarsourdough  onion bacon brioche  pretzel  oatmeal rye bread and bordier butterbaby radish  heirloom tomato  chive  and tomato consomm pressed foie gras with green apples  turnips  watercress  smoked duck  brioche batonravioli of lobster   langoustine   salmon poached in a light bisque  oscietra caviar  sorrel veloutegougeresisle of gigha halibut with atlantic king crab  finger lime  cauliflower cous cous and ras el hanout infused broth including coriander  fennel seed  cinnamon  and clovebresse pigeon breast with confit leg  smoked pork belly  grilled polenta  mascarpone  beet root  braised shallots  baby carrot  datesselection of cheeses including camembert calvados  36 month comte  holland goat bleu  napoleon   haut pyrenees  and ami du chambertin with oat cakes and chive lavosh  fruit bread  local honeycomb  grapescucumber sorbet  salad burnet  lemon verbena  mint  lemon balmassiette de l aubergine   lemonade parfait with honey  bergamot  sheep s milk yoghurt sorbet   smoked chocolate cigar with blood orange and cardamom ice cream   bitter chocolate cylinder with coffee granite and ginger moussecaramelised tarte tatin of apples with tahitian vanilla ice creamenglish peppermint souffle with bitter chocolate sorbetstrawberry ice cream bon bon  milk chocolate ganache  rosewater turkish delightundeniably a caricature of his own creation  and perhaps nowhere more than back home in las vegas where his most highly regarded restaurant flaunts  a fury for flavor   it was with a cautious sort of optimism that i approached restaurant gordon ramsay and thankfully sparred from any semblance of shtick nearly every moment of my three hour lunch would prove a delight   still ramsay in name but maintaining three stars from michelin under the direction of clare smyth as each of 45 seats are pampered by formal yet friendly service amidst an art deco d cor bathed in white it obviously comes as no surprise that a visit to royal hospital road proves a far more elegant experience than fans of the scottish chef s celebrity might expect and although some may call the cuisine a touch too  safe  i prefer the term precise  not a single element of the  menu prestige  out of place as a parade of ornate plates shined bright   admittedly not the best way to showcase chef smyth s skills yet at the same time far more broad in scope than the shorter prix fixe it was of several ramsay signatures that my meal comprised and with courses such as the tender ravioli and delicate halibut every bit deserving of their legendary status served alongside milliat nectars  a top tier bread program paired to bordier  plus a cheese cart rich in selections from antony not a single detail seemed overlooked   delving into a few modernist flairs as the meal transitioned to sweets it was only here that i diverged from the  prestige  path and although commanding a  20 premium the assisette de l aubergine was every bit worth the price   a trio of the restaurant s daily desserts paired with an individual portion of the restaurant s signature tarte and capped by a full sized souffl   itself bearing a  20 tag if ordered a la carte   beleaguered by some due to its namesake s antics but every bit worth its celebrated status suffice it to say that whether chef ramsay himself has cooked on hospital road recently is irrelevant  the kitchen remains in good hands while the front of house flows with an effortless affability far too infrequently seen amongst europe s mostly highly ranked 
143	5.0	A real 5 star yelp experience for a 3 Michelin star establishment.Starting with the friendly welcome from the doorman and the greeting from the staff, we were shown to our table, a snug table in a comfortable, relaxed dining room that was both luxurious and slightly understated which created an exclusive yet completely unstuffy vibe.We started with champagne, of course, served from a magnum bottle, several varieties on offer in ascending price.The wine menu weighs as much as an encyclopedia. The sommelier came over to discuss the style of wine we were looking for. Her reco was spot on.The starter of scallops with apples and walnuts was perfect.For mains I chose the suckling pig cooked four ways.Desert choice was chocolate cylinder with ginger mousse.Each course was perfectly presented and composed with winning taste combinations. I could have been happy with any of the dishes on the menu and making a choice was hard. Fish & seafood seems to be a particular standout here so maybe I should have opted for a fish main course also. The dishes are sophisticated expertly created yet the menu descriptions are straightforward. I like that lack of pretension.A good variety of interesting of amuse bouches added more excitement between courses and the Maitre D' stopped by for a chat. A nice touch which just added to the overall pleasant and relaxed ambience.Every member of the staff excelled and the whole meal was so well coordinated it was perfection.A special dining experience that I would love to repeat again. A key metric for me is value for money but that doesn't mean everything has to be cheap. But expectations are high when the price is high and Gordon Ramsay delivered.	a real 5 star yelp experience for a 3 michelin star establishment starting with the friendly welcome from the doorman and the greeting from the staff  we were shown to our table  a snug table in a comfortable  relaxed dining room that was both luxurious and slightly understated which created an exclusive yet completely unstuffy vibe we started with champagne  of course  served from a magnum bottle  several varieties on offer in ascending price the wine menu weighs as much as an encyclopedia  the sommelier came over to discuss the style of wine we were looking for  her reco was spot on the starter of scallops with apples and walnuts was perfect for mains i chose the suckling pig cooked four ways desert choice was chocolate cylinder with ginger mousse each course was perfectly presented and composed with winning taste combinations  i could have been happy with any of the dishes on the menu and making a choice was hard  fish   seafood seems to be a particular standout here so maybe i should have opted for a fish main course also  the dishes are sophisticated expertly created yet the menu descriptions are straightforward  i like that lack of pretension a good variety of interesting of amuse bouches added more excitement between courses and the maitre d  stopped by for a chat  a nice touch which just added to the overall pleasant and relaxed ambience every member of the staff excelled and the whole meal was so well coordinated it was perfection a special dining experience that i would love to repeat again  a key metric for me is value for money but that doesn t mean everything has to be cheap  but expectations are high when the price is high and gordon ramsay delivered 
144	5.0	Absolutely astounding.My wife and I visited this restaurant as our last stop on our 2 week vacation to London.Amazing service and amazing food.  Drinks were always topped up, food was prepared to perfection, and the servers were easily the most attentive and informed we've ever encountered.Worth every penny.	absolutely astounding my wife and i visited this restaurant as our last stop on our 2 week vacation to london amazing service and amazing food   drinks were always topped up  food was prepared to perfection  and the servers were easily the most attentive and informed we ve ever encountered worth every penny 
145	5.0	4.5 star (Yelp) and 2.5 star Michelin.Food and service were executed perfectly.  But there was no longer excitement in the dishes.  I first ate here 15 years ago when Gordon was still cooking in the kitchen, and the 9 course lunch was fantastic.  The food woke me up despite the jet lag after having just arriving in London from California.   I was awed by almost every dish.The current chef still deliver a superb meal, but flavor and texture of the dishes are very predictable.Service was perfect.  Wine list was very good as many bottles are reasonably priced.	4 5 star  yelp  and 2 5 star michelin food and service were executed perfectly   but there was no longer excitement in the dishes   i first ate here 15 years ago when gordon was still cooking in the kitchen  and the 9 course lunch was fantastic   the food woke me up despite the jet lag after having just arriving in london from california    i was awed by almost every dish the current chef still deliver a superb meal  but flavor and texture of the dishes are very predictable service was perfect   wine list was very good as many bottles are reasonably priced 
